step,models,recycles,hard,soft,temp,loss,con,plddt,ptm,rg
0,0,0,0,0,1.0,6.48,5.02,0.55,0.21,14.58
1,4,0,0,0,1.0,4.48,4.05,0.46,0.21,4.32
2,0,0,0,0,1.0,3.16,3.04,0.6,0.43,1.18
3,1,0,0,0,1.0,2.9,2.73,0.67,0.5,1.74
4,4,0,0,0,1.0,2.66,2.52,0.74,0.59,1.37
5,4,0,0,0,1.0,2.45,2.33,0.78,0.65,1.22
6,2,0,0,0,1.0,2.53,2.39,0.76,0.62,1.31
7,1,0,0,0,1.0,2.04,1.95,0.81,0.7,0.85
8,2,0,0,0,1.0,1.9,1.82,0.84,0.76,0.76
9,3,0,0,0,1.0,1.74,1.67,0.87,0.78,0.69
10,4,0,0,0,1.0,1.82,1.69,0.85,0.75,1.32
11,1,0,0,0,1.0,1.85,1.75,0.85,0.74,1.06
12,1,0,0,0,1.0,1.82,1.74,0.83,0.73,0.71
13,4,0,0,0,1.0,1.69,1.61,0.87,0.79,0.75
14,1,0,0,0,1.0,1.61,1.54,0.87,0.78,0.78
15,2,0,0,0,1.0,1.52,1.45,0.9,0.82,0.67
16,1,0,0,0,1.0,1.58,1.52,0.88,0.79,0.64
17,1,0,0,0,1.0,1.48,1.42,0.9,0.82,0.58
18,4,0,0,0,1.0,1.47,1.42,0.89,0.81,0.57
19,3,0,0,0,1.0,1.54,1.49,0.89,0.81,0.56
20,3,0,0,0,1.0,1.6,1.54,0.9,0.81,0.59
21,2,0,0,0,1.0,1.4,1.35,0.92,0.84,0.52
22,2,0,0,0,1.0,1.37,1.32,0.94,0.85,0.52
23,2,0,0,0,1.0,1.33,1.28,0.95,0.85,0.51
24,1,0,0,0,1.0,1.24,1.18,0.96,0.86,0.56
25,1,0,0,0,1.0,1.13,1.07,0.96,0.87,0.55
26,2,0,0,0,1.0,1.25,1.2,0.95,0.86,0.52
27,1,0,0,0,1.0,1.12,1.07,0.97,0.87,0.47
28,2,0,0,0,1.0,1.43,1.39,0.93,0.84,0.49
29,2,0,0,0,1.0,1.22,1.18,0.95,0.87,0.41
30,2,0,0,0,1.0,1.27,1.23,0.95,0.86,0.4
31,0,0,0,0,1.0,1.23,1.18,0.96,0.85,0.49
32,3,0,0,0,1.0,1.17,1.12,0.96,0.88,0.49
33,0,0,0,0,1.0,1.19,1.14,0.96,0.85,0.51
34,0,0,0,0,1.0,1.09,1.05,0.97,0.86,0.47
35,2,0,0,0,1.0,1.15,1.1,0.96,0.88,0.51
36,0,0,0,0,1.0,1.11,1.06,0.96,0.86,0.47
37,3,0,0,0,1.0,1.11,1.07,0.97,0.89,0.39
38,1,0,0,0,1.0,1.07,1.04,0.96,0.87,0.32
39,4,0,0,0,1.0,1.13,1.09,0.97,0.87,0.42
40,0,0,0,0,1.0,1.13,1.09,0.96,0.85,0.39
41,2,0,0,0,1.0,1.21,1.18,0.96,0.86,0.32
42,2,0,0,0,1.0,1.07,1.04,0.97,0.88,0.33
43,2,0,0,0,1.0,1.06,1.03,0.97,0.88,0.3
